station,lon,lat
85320,-100.5534495,18.5100352
85321,-100.506025,18.50957623
85322,-100.4586007,18.50910246
85323,-100.4111768,18.50861388
85324,-100.3637533,18.50811049
85325,-100.3163301,18.50759231
85326,-100.2689072,18.50705931
85327,-100.2214848,18.50651152
85328,-100.1740627,18.50594892
85329,-100.126641,18.50537152
85330,-100.0792197,18.50477931
85331,-100.0317988,18.50417231
85332,-99.98437836,18.50355049
85333,-99.93695834,18.50291388
85334,-99.88953876,18.50226246
85335,-99.84211965,18.50159625
85336,-99.79470099,18.50091522
85337,-99.74728281,18.5002194
86320,-100.5529745,18.55513075
86321,-100.5055344,18.55467166
86322,-100.4580946,18.55419776
86323,-100.4106551,18.55370906
86324,-100.363216,18.55320554
86325,-100.3157772,18.55268722
86326,-100.2683388,18.55215409
86327,-100.2209007,18.55160616
86328,-100.1734631,18.55104341
86329,-100.1260258,18.55046586
86330,-100.078589,18.54987351
86331,-100.0311525,18.54926634
86332,-99.98371649,18.54864437
86333,-99.9362809,18.54800759
86334,-99.88884576,18.54735601
86335,-99.84141108,18.54668962
86336,-99.79397686,18.54600842
86337,-99.74654312,18.54531242
86338,-99.69910986,18.54460161
86339,-99.6516771,18.543876
86340,-99.60424484,18.54313558
86341,-99.5568131,18.54238036
86342,-99.50938189,18.54161033
86343,-99.46195121,18.5408255
86344,-99.41452108,18.54002586
86345,-99.36709151,18.53921141
86346,-99.31966251,18.53838217
86347,-99.27223409,18.53753812
86348,-99.22480625,18.53667926
86349,-99.17737901,18.53580561
86350,-99.12995238,18.53491714
86351,-99.08252637,18.53401388
86352,-99.03510098,18.53309581
86353,-98.98767624,18.53216294
86354,-98.94025214,18.53121527
86355,-98.89282871,18.5302528
86356,-98.84540594,18.52927552
86357,-98.79798386,18.52828344
86358,-98.75056246,18.52727657
86359,-98.70314177,18.52625489
86360,-98.65572178,18.5252184
86361,-98.60830252,18.52416712
86362,-98.56088399,18.52310104
86363,-98.5134662,18.52202016
86364,-98.46604916,18.52092448
86365,-98.41863288,18.519814
86366,-98.37121737,18.51868872
86367,-98.32380265,18.51754864
87319,-100.5999552,18.60066751
87320,-100.5524992,18.60022311
87321,-100.5050435,18.5997639
87322,-100.4575881,18.59928988
87323,-100.410133,18.59880105
87324,-100.3626783,18.59829741
87325,-100.3152239,18.59777895
87326,-100.2677699,18.59724569
87327,-100.2203163,18.59669761
87328,-100.1728631,18.59613472
87329,-100.1254102,18.59555702
87330,-100.0779578,18.59496451
87331,-100.0305058,18.59435719
87332,-99.98305419,18.59373506
87333,-99.93560303,18.59309812
87334,-99.88815231,18.59244637
87335,-99.84070205,18.5917798
87336,-99.79325225,18.59109843
87337,-99.74580293,18.59040225
87338,-99.6983541,18.58969126
87339,-99.65090576,18.58896546
87340,-99.60345793,18.58822485
87341,-99.55601062,18.58746943
87342,-99.50856383,18.5866992
87343,-99.46111759,18.58591417
87344,-99.41367189,18.58511432
87345,-99.36622674,18.58429967
87346,-99.31878217,18.58347021
87347,-99.27133818,18.58262594
87348,-99.22389477,18.58176687
87349,-99.17645196,18.58089298
87350,-99.12900976,18.58000429
87351,-99.08156818,18.57910079
87352,-99.03412723,18.57818249
87353,-98.98668692,18.57724938
87354,-98.93924726,18.57630146
87355,-98.89180826,18.57533874
87356,-98.84436993,18.57436121
87357,-98.79693228,18.57336888
87358,-98.74949532,18.57236174
87359,-98.70205906,18.5713398
87360,-98.65462352,18.57030305
87361,-98.60718869,18.5692515
87362,-98.5597546,18.56818514
87363,-98.51232125,18.56710398
87364,-98.46488865,18.56600802
87365,-98.41745681,18.56489725
87366,-98.37002575,18.56377168
87367,-98.32259547,18.56263131
88319,-100.5994951,18.64575683
88320,-100.5520235,18.64531232
88321,-100.5045522,18.64485299
88322,-100.4570812,18.64437885
88323,-100.4096106,18.64388989
88324,-100.3621403,18.64338612
88325,-100.3146703,18.64286753
88326,-100.2672007,18.64233412
88327,-100.2197315,18.6417859
88328,-100.1722627,18.64122287
88329,-100.1247943,18.64064502
88330,-100.0773262,18.64005236
88331,-100.0298586,18.63944488
88332,-99.98239145,18.63882259
88333,-99.9349247,18.63818548
88334,-99.8874584,18.63753356
88335,-99.83999255,18.63686682
88336,-99.79252717,18.63618528
88337,-99.74506226,18.63548891
88338,-99.69759784,18.63477774
88339,-99.65013392,18.63405175
88340,-99.60267051,18.63331095
