"CLAVE","CVE_EST","NOMBRE","MUNICIPIO","SITUACION","Latitud","Longitud","Altitud"
1001,"ags","Aguascalientes (OBS)","Aguascalientes","Operando",21.85027778,-102.2908333,1890.8
1003,"ags","Calvillo (SMN)","Calvillo","Suspendida",21.88333333,-102.7188889,1640
1004,"ags","Caœada Honda","Aguascalientes","Operando",22.00083333,-102.1988889,1925
1005,"ags","Presa El Niagara","Aguascalientes","Operando",21.78055556,-102.3716667,1844
1006,"ags","El Tule (SMN)","Asientos","Suspendida",22.08166667,-102.0913889,1960
1007,"ags","Jesús Maria (SMN)","Jesús Mar≠a","Suspendida",21.96222222,-102.3447222,1880
1008,"ags","Puerto De La Concepcion","Tepezalˇ","Operando",22.20277778,-102.135,2322.8
1009,"ags","La Labor (SMN)","Calvillo","Suspendida",21.96222222,-102.6947222,1740
1010,"ags","La Tinaja","San Jos? De Gracia","Operando",22.16444444,-102.5541667,2525.7
1011,"ags","Malpaso","Calvillo","Operando",21.86,-102.6638889,1730.2
1012,"ags","Presa Media Luna","Calvillo","Operando",21.79444444,-102.8016667,1588.7
1013,"ags","Mesillas","Tepezalˇ","Operando",22.31333333,-102.1658333,2020.5
1014,"ags","PabellΩn Campo Experimental","PabellΩn De Arteaga","Operando",22.16694444,-102.2927778,1933.7
1015,"ags","Palo Alto","El Llano","Operando",21.91638889,-101.9694444,2037.5
1016,"ags","Ganader≠a Peœuelas","Aguascalientes","Suspendida",21.71055556,-102.2822222,1850
1017,"ags","Presa Potrerillos","San Jos? De Gracia","Operando",22.23277778,-102.4436111,2171.9
1018,"ags","Presa Plutarco El≠as Calles","San Jos? De Gracia","Operando",22.14138889,-102.4152778,2053.1
1019,"ags","Presa Jocoque","PabellΩn De Arteaga","Operando",22.12805556,-102.3594444,2006.2
1020,"ags","Presa La Codorniz","Calvillo","Operando",21.99666667,-102.6741667,1850.2
1021,"ags","Rancho Viejo","San Jos? De Gracia","Operando",22.12333333,-102.5111111,2126.6
1022,"ags","San Bartolo","Aguascalientes","Operando",21.74805556,-102.1702778,1997.6
1023,"ags","Calvillo (DGE)","Calvillo","Operando",21.83666667,-102.7116667,1684.6
1024,"ags","San Isidro","Aguascalientes","Operando",21.77861111,-102.1038889,2004.4
1025,"ags","San Francisco De Los Romo (SMN)","San Francisco De Los Romo","Suspendida",22.07722222,-102.2711111,1880
1026,"ags","Tepezalˇ","Tepezalˇ","Operando",22.22361111,-102.1688889,2110.2
1027,"ags","Venadero (DGE)","Jesús Mar≠a","Operando",21.87722222,-102.4633333,2025.6
1028,"ags","Villa Juˇrez","Asientos","Operando",22.10083333,-102.0677778,1999.3
1029,"ags","Asientos","Asientos","Operando",22.23972222,-102.0888889,2162.8
1030,"ags","Aguascalientes","Aguascalientes","Operando",21.89555556,-102.3086111,1888.7
1031,"ags","El Novillo","El Llano","Operando",22.01888889,-101.9991667,2042.6
1032,"ags","Las Fraguas","Asientos","Operando",22.03916667,-101.8925,2086
1033,"ags","Los Conos","El Llano","Operando",21.89777778,-101.9925,2025.9
1034,"ags","Sandovales","El Llano","Operando",21.885,-102.1091667,2007
1035,"ags","San Francisco De Los Viveros","El Llano","Suspendida",21.91194444,-102.13,2020
1036,"ags","Santa Rosa","Aguascalientes","Suspendida",21.81666667,-102.3,1860
1041,"ags","Pabellon De Arteaga (SMN)","PabellΩn De Arteaga","Suspendida",22.15,-102.2833333,1900
1043,"ags","E.T.A. 127 Aguascalientes","Aguascalientes","Suspendida",21.88333333,-102.3,1855
1045,"ags","El Tule (DGE)","Asientos","Operando",22.08305556,-102.0911111,1981.7
1046,"ags","La Labor (DGE)","Calvillo","Operando",21.96444444,-102.6972222,1784.5
1047,"ags","Agua Zarca","Calvillo","Suspendida",21.97416667,-102.5844444,2416.8
1057,"ags","Venadero (SMN)","Jesús Mar≠a","Suspendida",21.8725,-102.4666667,2000
1062,"ags","Arellano","Aguascalientes","Operando",21.80194444,-102.2730556,1910.7
1063,"ags","Peœuelas (SMN)","Aguascalientes","Suspendida",21.725,-102.275,1870
1073,"ags","La Tinaja","El Llano","Operando",21.80944444,-102.1297222,2027.1
1074,"ags","Cieneguilla","Aguascalientes","Operando",21.73111111,-102.4527778,1838.8
1075,"ags","Montoro","Aguascalientes","Operando",21.75722222,-102.3022222,1870.5
1076,"ags","Los Negritos","Aguascalientes","Suspendida",21.87055556,-102.3491667,1887.1
1077,"ags","El Ocote","Aguascalientes","Operando",21.78277778,-102.5175,2044.6
1078,"ags","El Ocote","Calvillo","Operando",21.89027778,-102.8325,2328.9
1079,"ags","Peœuelas (DGE)","Aguascalientes","Operando",21.72583333,-102.2722222,1900.3
1080,"ags","Presa Canutillo","Jesús Mar≠a","Operando",21.8375,-102.5222222,1949.7
1081,"ags","Rancho Seco","Asientos","Operando",22.08833333,-101.9672222,2067.2
1082,"ags","Rincon De Romos","RincΩn De Romos","Operando",22.23111111,-102.3152778,1965.3
1083,"ags","San Francisco De Los Romo (DGE)","San Francisco De Los Romo","Operando",22.07888889,-102.2730556,1909.1
1084,"ags","San Gil","Asientos","Operando",22.20833333,-102.0222222,2032.2
1085,"ags","Tepetatillo","Asientos","Operando",22.09111111,-102.1813889,2039.7
1088,"ags","Cos≠o","Cos≠o","Operando",22.36277778,-102.2969444,2022.7
1089,"ags","Presa 50 Aniversario","San Jos? De Gracia","Operando",22.18861111,-102.4641667,2104.3
1090,"ags","Jesús Maria (DGE)","Jesús Mar≠a","Operando",21.96222222,-102.3505556,1880.9
1091,"ags","Los Alisos","Calvillo","Operando",21.74222222,-102.7169444,2216
1094,"ags","El Chayote","Tepezalˇ","Operando",22.28611111,-102.2358333,1951.2
1095,"ags","Milpillas De Arriba","Jesús Mar≠a","Operando",21.935,-102.5508333,2163.6
1096,"ags","Calvillito","Aguascalientes","Operando",21.83527778,-102.1825,1969.8
1097,"ags","Aguascalientes II","Aguascalientes","Operando",21.90555556,-102.265,1945.5
1098,"ags","La Posta U.A.A.","Jesús Mar≠a","Operando",21.9725,-102.3625,1940.9
1099,"ags","Jesús Terˇn (El Muerto)","El Llano","Operando",21.97583333,-102.0619444,2044
1101,"ags","Las Presas","El Llano","Operando",21.90916667,-102.0869444,2044.6
1102,"ags","PabellΩn De Arteaga (DGE)","PabellΩn De Arteaga","Operando",22.14722222,-102.2791667,1929.7
1103,"ags","Alamitos Campamento","San Jos? De Gracia","Operando",22.1775,-102.5861111,2603.4
1104,"ags","Abelardo L. Rodr≠guez","Jesús Mar≠a","Suspendida",21.91444444,-102.4286111,1970.8
1105,"ags","Los Cuartos","Jesús Mar≠a","Operando",21.98638889,-102.35,1901.3
1106,"ags","La Primavera","Jesús Mar≠a","Operando",21.95861111,-102.4758333,2059
1108,"ags","Arroyo Hondo (CYCNA)","Tepezalˇ","Suspendida",22.1825,-102.2077778,1999
2001,"bc","Agua Caliente","Ensenada","Operando",32.1075,-116.4541667,400
2002,"bc","Bah≠a De Los Angeles","San Quint≠n","Operando",28.60388889,-113.5561111,4
2003,"bc","Bataquez","Mexicali","Suspendida",32.55111111,-115.0688889,23
2004,"bc","Ignacio Zaragoza -Bel?n-","Ensenada","Operando",32.19527778,-116.4855556,540
2005,"bc","Boquilla Santa Rosa De La MisiΩn","Ensenada","Suspendida",32.02166667,-116.7769444,250
2006,"bc","Chapala","San Quint≠n","Operando",29.48805556,-114.3638889,660
2007,"bc","Cerro Prieto (CFE)","Mexicali","Suspendida",32.43805556,-115.3875,10
2008,"bc","Colonia Guerrero","San Quint≠n","Suspendida",30.71666667,-115.9833333,30
2009,"bc","Colonia Juˇrez","Mexicali","Suspendida",32.29861111,-115.0161111,17
2010,"bc","Compostela","Ensenada","Suspendida",31.78333333,-115.7666667,625
2011,"bc","Delta","Mexicali","Operando",32.35305556,-115.1891667,12
2012,"bc","Ejido Jose Maria Morelos","San Quint≠n","Operando",28.3,-114.0258333,20
2013,"bc","Ejido Plan Nacional Agrario","Ensenada","Suspendida",30.67,-115.1311111,420
2014,"bc","El Êlamo","Ensenada","Suspendida",31.59333333,-116.0544444,1115
2015,"bc","El Arco","San Quint≠n","Operando",28.02861111,-113.3963889,288
2016,"bc","El Barril","San Quint≠n","Suspendida",28.3025,-112.8783333,50
2017,"bc","Planta De Bombeo Rosarito","Playas De Rosarito","Suspendida",32.32777778,-117.0472222,72
2019,"bc","El Compadre","Tecate","Suspendida",32.3375,-116.2541667,1110
2020,"bc","El Mayor","Mexicali","Operando",32.1275,-115.2780556,15
2021,"bc","El Pinal","Ensenada","Suspendida",32.18333333,-116.2916667,1320
2022,"bc","El Rosario","San Quint≠n","Operando",30.05944444,-115.7233333,40
2023,"bc","El Socorro","San Quint≠n","Operando",30.32055556,-115.8205556,26
2024,"bc","El Testerazo","Tecate","Operando",32.29638889,-116.5344444,380
2025,"bc","Ensenada (OBS)","Ensenada","Operando",31.85777778,-116.6058333,21
2026,"bc","Isla Guadalupe (OBS)","Insular - Sin Municipio","Suspendida",29.02,-118.2780556,580
2027,"bc","Isla Cedros","Insular - Sin Municipio","Suspendida",28.135,-115.175,3
2029,"bc","La Providencia","San Quint≠n","Suspendida",30.96861111,-116.1566667,40
2030,"bc","La Puerta","Tecate","Operando",32.54388889,-116.6783333,480
2031,"bc","La Rumorosa","Tecate","Operando",32.54861111,-116.0463889,1232
2032,"bc","Las Escobas","San Quint≠n","Operando",30.57944444,-115.9377778,30
2033,"bc","Mexicali (DGE)","Mexicali","Suspendida",32.66333333,-115.4677778,3
2034,"bc","Mexicali (SMN)","Mexicali","Operando",32.55,-115.4666667,3
2035,"bc","Ojos Negros","Ensenada","Suspendida",31.91166667,-116.2647222,680
2036,"bc","Olivares Mexicanos","Ensenada","Operando",32.04916667,-116.6808333,340
2037,"bc","Presa Morelos","Mexicali","Operando",32.71527778,-114.7288889,40
2038,"bc","Presa Rodr≠guez","Tijuana","Operando",32.44694444,-116.9077778,120
2039,"bc","Punta Prieta","San Quint≠n","Operando",29.15833333,-114.1458333,325
2040,"bc","Rancho Alegre","San Quint≠n","Operando",28.22861111,-113.7552778,120
2041,"bc","Nuevo Rosarito","San Quint≠n","Operando",28.63444444,-114.0172222,20
2042,"bc","Rosarito","Playas De Rosarito","Suspendida",32.28777778,-117.0019444,150
2043,"bc","San Agust≠n","San Quint≠n","Operando",29.9375,-114.9669444,552
2044,"bc","San Borja","San Quint≠n","Operando",28.73527778,-113.7525,445
2045,"bc","San Carlos","Ensenada","Suspendida",31.78527778,-116.4636111,164
2046,"bc","San Felipe","Mexicali","Operando",31.0275,-114.8352778,10
2047,"bc","San Fernando","San Quint≠n","Suspendida",29.98333333,-115.2333333,10
2048,"bc","San Jose","San Quint≠n","Suspendida",31.06666667,-115.5833333,40
2049,"bc","San Juan De Dios Norte","Ensenada","Suspendida",32.1325,-116.165,1280
2050,"bc","San Juan De Dios Sur","San Quint≠n","Suspendida",30.18444444,-115.1375,600
2051,"bc","San Luis Baja California","San Quint≠n","Suspendida",29.72722222,-114.7108333,480
2052,"bc","San Luis Gonzaga","Ensenada","Suspendida",30.08333333,-114.6166667,1
2053,"bc","San Miguel","San Quint≠n","Suspendida",28.58333333,-113.95,440
2054,"bc","San Rafael","San Quint≠n","Suspendida",31.03333333,-115.9833333,100
2055,"bc","San Telmo","San Quint≠n","Operando",30.95,-116.1,60
2056,"bc","San Vicente","Ensenada","Operando",31.32916667,-116.2477778,110
2057,"bc","Santa Catarina Norte","Ensenada","Suspendida",31.65722222,-115.8238889,1150
2058,"bc","Santa Catarina Sur","San Quint≠n","Operando",29.72194444,-115.1302778,317
2059,"bc","Santa Clara","Mexicali","Operando",31.08055556,-115.2861111,410
2060,"bc","Santa Cruz","San Quint≠n","Suspendida",30.87861111,-115.6277778,980
2061,"bc","Santa Gertrudis","San Quint≠n","Suspendida",28.075,-113.0916667,400
2062,"bc","Santa Isabel","Ensenada","Suspendida",31.87111111,-115.8172222,1540
2063,"bc","Santa Maria Del Mar","San Quint≠n","Operando",30.40166667,-115.8883333,28
2064,"bc","Santo Domingo","Ensenada","Suspendida",31.63333333,-116.3769444,250
2065,"bc","Santo Tomas","Ensenada","Operando",31.79194444,-116.4061111,180
2066,"bc","Laguna Hanson A. Sierra De Juˇrez","Ensenada","Suspendida",32.00361111,-115.9483333,1580
2067,"bc","Tepic","Ensenada","Suspendida",31.15833333,-115.7205556,30
2068,"bc","Tijuana","Tijuana","Suspendida",32.525,-117.0416667,20
2069,"bc","Valle De Las Palmas","Tecate","Suspendida",32.37027778,-116.6536111,280
2070,"bc","Valle Redondo","Tijuana","Suspendida",32.51777778,-116.7561111,242
2071,"bc","Colonia Valle De La Trinidad","Ensenada","Suspendida",31.35583333,-115.6963889,740
2072,"bc","Presa Emilio LΩpez Zamora","Ensenada","Operando",31.89583333,-115.5972222,43
2073,"bc","Tijuana (CFE)","Tijuana","Suspendida",32.52416667,-117.0741667,25
